iter	Passed	Remaining
0	22	22853
1	44	22384
2	78	26019
3	118	29615
4	142	28451
5	165	27342
6	186	26446
7	207	25722
8	232	25579
9	255	25335
10	279	25129
11	301	24821
12	329	24980
13	350	24706
14	373	24523
15	397	24450
16	423	24482
17	449	24496
18	471	24355
19	491	24068
20	511	23861
21	532	23679
22	553	23499
23	573	23321
24	591	23054
25	610	22855
26	629	22703
27	649	22561
28	673	22541
29	699	22601
30	720	22535
31	741	22443
32	761	22312
33	782	22219
34	802	22115
35	819	21938
36	837	21809
37	857	21713
38	878	21648
39	897	21531
40	916	21434
41	935	21332
42	954	21245
43	972	21130
44	992	21062
45	1012	21001
46	1030	20904
47	1049	20810
48	1068	20733
49	1089	20698
50	1109	20637
51	1127	20552
52	1147	20506
53	1168	20463
54	1188	20417
55	1208	20379
56	1228	20317
57	1245	20228
58	1264	20166
59	1282	20100
60	1303	20067
61	1322	20009
62	1343	19975
63	1362	19923
64	1381	19871
65	1398	19787
66	1415	19709
67	1433	19649
68	1453	19606
69	1472	19562
70	1491	19514
71	1511	19485
72	1532	19466
73	1552	19430
74	1575	19431
75	1597	19426
76	1620	19429
77	1643	19426
78	1665	19421
79	1688	19419
80	1711	19417
81	1734	19414
82	1756	19404
83	1777	19386
84	1799	19373
85	1820	19348
86	1840	19317
87	1861	19291
88	1881	19254
89	1901	19228
90	1920	19183
91	1938	19130
92	1957	19089
93	1976	19045
94	1993	18990
95	2010	18930
96	2027	18876
97	2045	18822
98	2062	18770
99	2079	18714
100	2098	18675
101	2114	18619
102	2133	18576
103	2150	18531
104	2169	18493
105	2187	18449
106	2205	18410
107	2223	18361
108	2240	18316
109	2258	18274
110	2278	18246
111	2297	18215
112	2316	18179
113	2333	18137
114	2351	18094
115	2369	18058
116	2388	18023
117	2407	17992
118	2425	17960
119	2444	17926
120	2461	17882
121	2479	17842
122	2497	17808
123	2516	17781
124	2535	17746
125	2554	17718
126	2573	17686
127	2592	17658
128	2609	17617
129	2627	17581
130	2645	17550
131	2663	17514
132	2679	17467
133	2694	17416
134	2711	17370
135	2727	17329
136	2744	17289
137	2761	17246
138	2778	17208
139	2795	17171
140	2814	17145
141	2830	17102
142	2847	17063
143	2864	17025
144	2881	16992
145	2899	16959
146	2916	16921
147	2933	16889
148	2951	16857
149	2968	16819
150	2984	16779
151	3001	16744
152	3018	16712
153	3036	16680
154	3053	16644
155	3070	16610
156	3085	16569
157	3102	16531
158	3119	16499
159	3135	16462
160	3153	16432
161	3170	16399
162	3188	16371
163	3206	16346
164	3223	16311
165	3240	16281
166	3257	16248
167	3274	16217
168	3291	16185
169	3308	16152
170	3324	16119
171	3342	16092
172	3360	16062
173	3377	16032
174	3396	16012
175	3415	15988
176	3433	15966
177	3450	15936
178	3466	15901
179	3483	15869
180	3499	15834
181	3515	15801
182	3532	15768
183	3549	15741
184	3566	15712
185	3583	15684
186	3600	15653
187	3617	15625
188	3634	15594
189	3653	15573
190	3670	15544
191	3686	15515
192	3702	15480
193	3718	15449
194	3734	15415
195	3749	15381
196	3765	15350
197	3783	15323
198	3799	15291
199	3814	15259
200	3831	15231
201	3848	15205
202	3866	15179
203	3883	15152
204	3899	15123
205	3916	15094
206	3932	15065
207	3949	15038
208	3966	15010
209	3983	14986
210	4000	14958
211	4017	14932
212	4034	14907
213	4050	14878
214	4067	14849
215	4085	14829
216	4101	14799
217	4119	14776
218	4135	14747
219	4152	14721
220	4168	14692
221	4186	14670
222	4203	14645
223	4219	14618
224	4236	14590
225	4255	14573
226	4275	14558
227	4292	14533
228	4309	14509
229	4327	14487
230	4344	14461
231	4360	14435
232	4376	14407
233	4393	14380
234	4410	14356
235	4425	14326
236	4441	14298
237	4458	14274
238	4474	14247
239	4491	14222
240	4507	14195
241	4523	14170
242	4539	14140
243	4555	14116
244	4573	14093
245	4590	14068
246	4607	14044
247	4623	14020
248	4639	13994
249	4655	13967
250	4671	13938
251	4687	13915
252	4704	13889
253	4720	13865
254	4737	13842
255	4752	13812
256	4769	13788
257	4785	13762
258	4802	13740
259	4819	13717
260	4835	13692
261	4851	13666
262	4867	13640
263	4883	13615
264	4899	13589
265	4916	13567
266	4934	13546
267	4950	13520
268	4966	13496
269	4983	13473
270	4999	13447
271	5016	13426
272	5033	13404
273	5049	13380
274	5066	13356
275	5082	13333
276	5099	13309
277	5115	13285
278	5131	13260
279	5147	13237
280	5164	13215
281	5180	13190
282	5198	13169
283	5214	13146
284	5230	13121
285	5247	13100
286	5266	13082
287	5282	13059
288	5299	13037
289	5315	13014
290	5331	12988
291	5348	12967
292	5364	12944
293	5381	12922
294	5397	12898
295	5413	12876
296	5430	12853
297	5445	12828
298	5462	12806
299	5479	12784
300	5496	12765
301	5516	12750
302	5534	12732
303	5552	12713
304	5571	12695
305	5591	12682
306	5612	12669
307	5632	12653
308	5653	12641
309	5673	12628
310	5695	12617
311	5716	12605
312	5737	12592
313	5756	12575
314	5776	12560
315	5797	12549
316	5817	12534
317	5838	12521
318	5859	12509
319	5878	12492
320	5896	12473
321	5915	12454
322	5934	12438
323	5954	12423
324	5974	12408
325	5993	12391
326	6011	12372
327	6031	12356
328	6051	12342
329	6070	12325
330	6089	12308
331	6107	12289
332	6125	12270
333	6143	12250
334	6160	12230
335	6178	12210
336	6195	12188
337	6210	12164
338	6229	12146
339	6246	12125
340	6263	12104
341	6280	12083
342	6298	12064
343	6314	12040
344	6331	12020
345	6346	11996
346	6362	11972
347	6378	11951
348	6395	11928
349	6410	11905
350	6427	11884
351	6443	11862
352	6460	11840
353	6478	11821
354	6495	11801
355	6512	11780
356	6528	11758
357	6548	11742
358	6568	11728
359	6587	11711
360	6607	11695
361	6628	11682
362	6648	11666
363	6667	11648
364	6687	11633
365	6704	11614
366	6727	11603
367	6745	11584
368	6764	11567
369	6783	11549
370	6802	11532
371	6821	11515
372	6839	11497
373	6860	11482
374	6878	11464
375	6897	11447
376	6915	11427
377	6932	11408
378	6951	11390
379	6970	11373
380	6988	11354
381	7006	11335
382	7024	11316
383	7042	11297
384	7061	11280
385	7079	11261
386	7098	11244
387	7115	11222
388	7134	11205
389	7151	11185
390	7169	11167
391	7188	11149
392	7203	11126
393	7222	11108
394	7239	11088
395	7257	11069
